ACTOR,ACTOR_TYPE,USUAL_SUSPECTS,numLinks,PRIVTECH_CONCERN1,PRIVTECH_CONCERN2,PRIVTECH_CONCERN3,PRIVTECH_CONCERN4,PRIVTECH_CONCERN5,PRIVTECH_CONCERN6,PRIVTECH_CONCERN7,RTS_CONCERN1,RTS_CONCERN2,RTS_CONCERN3,RTS_CONCERN4,ISSUE1,ISSUE2,ISSUE3,ISSUE4,ISSUE5,ISSUE6,ISSUE7
Abine,Tool,0,4,data collection,data controls/notice and consent,,,,,,consumer protection,,,,e-commerce,,,,,,
"Aleecia McDonald (Resident Fellow, Center for Internet and Society; Stanford University)",Academic/Researcher,0,5,data collection,data profiling,data controls/notice and consent,,,,,consumer protection,,,,e-commerce,,,,,,
"Alessandro Acquisti (Heinz College, Carnegie Mellon University)",Academic/Researcher,0,12,data collection,data storage,data profiling,data controls/notice and consent,,,,social justice/anti-discrimination,protection of vulnerable populations,consumer protection,,finances,health,labor/workplace,race/gender/class,e-commerce,,
American Civil Liberties Union,Non profit,1,8,data collection,data sharing,data identification,data profiling,data controls/notice and consent,,,freedom from government surveillance/civil liberties,citizens' speech rights,,,law enforcement/public safety,,,,,,
American Library Association,Non profit,0,7,data collection,,,,,,,freedom from government surveillance/civil liberties,,,,children/youth,digital divide,e-government,race/gender/class,copyright,,
Andrea Matwyshyn (Wharton School of Business; University of Pennsylvania),Academic/Researcher,0,6,data collection,data controls/notice and consent,,,,,,protection of vulnerable populations,consumer protection,,,children/youth,e-commerce,,,,,
Anita Allen (School of Law; University of Pennsylvania),Academic/Researcher,0,9,data collection,data storage,data profiling,data controls/notice and consent,,,,protection of vulnerable populations,consumer protection,,,health,e-government,race/gender/class,,,,
"Annie I. Antãn (Computer Science, North Carolina State University)",Academic/Researcher,0,9,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,consumer protection,,,,health,e-commerce,,,,,
AppRights (Congressman Hank Johnson),US (State/Regional),0,8,data collection,data storage,data sharing,data controls/notice and consent,,,,consumer protection,,,,children/youth,law enforcement/public safety,e-commerce,,,,
Arvind Narayanan (Center for Information Technology Policy; Princeton University),Academic/Researcher,0,5,data storage,data sharing,data controls,,,,,consumer protection,,,,e-commerce,,,,,,
Ashkan Soltani (Independent),Academic/Researcher,0,7,data collection,data storage,data sharing,data profiling,data controls/notice and consent,,,consumer protection,,,,e-commerce,,,,,,
Association for Progressive Communications,Non profit,0,7,data collection,data controls/notice and consent,,,,,,freedom from government surveillance/civil liberties,citizens' speech rights,social justice/anti-discrimination,,digital divide,race/gender/class,,,,,
Bill of Rights Defense Committee,Non profit,0,10,data collection,data security,data sharing,data profiling,data controls/notice and consent,,,freedom from government surveillance/civil liberties,social justice/anti-discrimination,,,national security,law enforcement/public safety,race/gender/class,,,,
BoxCryptor ,Tool,0,5,data collection,data security,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,consumer protection,,,,,,,,,
"Bryan Choi (Information Society Project, Yale Law School)",Academic/Researcher,0,8,data collection,data storage,data profiling,data controls/notice and consent,,,,consumer protection,citizens' speech rights,,,copyright,e-commerce,,,,,
California Office of Privacy Protection,US (State/Regional),0,8,data collection,data controls/notice and consent,,,,,,consumer protection,,,,children/youth,finances,health,labor/workplace,e-government,,
CalOHii (State of California Office of Health Information Integrity),US (State/Regional),0,7,data storage,data security,data profiling,data controls/notice and consent,,,,consumer protection,protection of vulnerable populations,,,health,,,,,,
"Carl Landwehr (Independent; Formerly at the Institute for Systems Research, University of Maryland)",Academic/Researcher,0,5,data security,,,,,,,consumer protection,,,,finances,health,e-commerce,,,,
Cato Institute,Non profit,0,8,data collection,data profiling,,,,,,freedom from government surveillance/civil liberties,citizens' speech rights,,,national security,law enforcement/public safety,e-government,e-commerce,,,
Center for Democracy and Technology,Non profit,1,17,data collection,data storage,data identification,data security,data sharing,data profiling,data controls/notice and consent,freedom from government surveillance/civil liberties,consumer protection,citizens' speech rights,,health,energy,national security,law enforcement/public safety,digital divide,e-government,race/gender/class
Center for Digital Democracy,Non profit,1,16,data collection,data identification,data security,data sharing,data profiling,data controls/notice and consent,,consumer protection,protection of vulnerable populations,social justice/anti-discrimination,,children/youth,health,labor/workplace,digital divide,e-government,race/gender/class,e-commerce
Center for Financial Privacy and Human Rights,Non profit,1,11,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,freedom from government surveillance/civil liberties,consumer protection,,,finances,health,e-government,,,,
Center for Media Justice,Non profit,0,7,data collection,data sharing,data profiling,data controls/notice and consent,,,,social justice/anti-discrimination,,,,digital divide,race/gender/class,,,,,
Center for Media Literacy,Non profit**,0,4,data controls/notice and consent,,,,,,,consumer protection,protection of vulnerable populations,,,children/youth,,,,,,
Chicago Media Action,Non profit**,0,4,data controls/notice and consent,,,,,,,consumer protection,citizens' speech rights,,,digital divide,,,,,,
"Chris Hoofnagle (Berkeley Center for Law & Technology; Samuelson Law, Technology & Public Policy Clinic; University of California Berkeley)",Academic/Researcher,0,10,data collection,data storage,data sharing,data profiling,data controls/notice and consent,,,consumer protection,protection of vulnerable populations,,,children/youth,finances,e-commerce,,,,
"Christopher Soghoian (Visiting Fellow, Information Society Project at Yale Law School; Fellow, Center for Applied Cybersecurity Research, Indiana University)",Academic/Researcher,0,9,data collection,data sharing,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,consumer protection,,,finances,national security,law enforcement/public safety,e-commerce,,,
Colette Vogele (Microsoft),Academic/Researcher,0,5,data controls/notice and consent,,,,,,,consumer protection,citizens' speech rights,,,copyright,e-commerce,,,,,
Color of Change,Non profit**,0,6,data collection,data profiling,,,,,,social justice/anti-discrimination,,,,digital divide,e-government,race/gender/class,,,,
Common Sense Media ,Non profit coalition,0,7,data collection,data identification,data controls/notice and consent,,,,,consumer protection,protection of vulnerable populations,,,children/youth,e-commerce,,,,,
Computer Professionals for Social Responsibility ,Non profit coalition,0,8,data collection,data storage,data security,,,,,consumer protection,freedom from government surveillance/civil liberties,,,national security,law enforcement/public safety,e-commerce,,,,
Consumer Federation of America,Non profit coalition,1,6,data collection,data sharing,data profiling,data controls/notice and consent,,,,consumer protection,,,,e-commerce,,,,,,
Consumer Watchdog,Non profit,1,6,data collection,data profiling,data controls/notice and consent,,,,,consumer protection,,,,finances,e-commerce,,,,,
Consumers Union,Non profit,1,7,data collection,data identification,data profiling,,,,,consumer protection,,,,children/youth,health,e-commerce,,,,
"Craig Wills (Computer Science, Worcester Polytechnic Institute)
",Academic/Researcher,0,6,data collection,data security,data sharing,data controls/notice and consent,,,,consumer protection,,,,e-commerce,,,,,,
Cryptocat,Tool,0,6,data collection,data controls/notice and consent,,,,,,freedom from government surveillance/civil liberties,protection of vulnerable populations,consumer protection,citizens' speech rights,,,,,,,
"Daniel Solove (School of Law, George Washington University)",Academic/Researcher,0,13,data collection,data storage,data security,data sharing,data profiling,data controls/notice and consent,,freedom from government surveillance/civil liberties,protection of vulnerable populations,consumer protection,,health,e-commerce,children/youth,finances,,,
"Danielle Keats Citron (School of Law, University of Maryland)",Academic/Researcher,0,11,data collection,data storage,data sharing,data controls/notice and consent,,,,freedom from government surveillance/civil liberties,protection of vulnerable populations,consumer protection,citizens' speech rights,children/youth,race/gender/class,e-commerce,,,,
"David Baumer (Poole College of Management, North Carolina State University)",Academic/Researcher,0,7,data storage,data security,data controls/notice and consent,,,,,consumer protection,,,,health,finances,e-commerce,,,,
David Wagner (Computer Science; University of California Berkeley),Academic/Researcher,0,6,data security,data sharing,data controls/notice and consent,,,,,freedom from government surveillance/civil liberties,consumer protection,,,e-government,,,,,,
Deirdre Mulligan (School of Information; School of Law; University of California Berkeley),Academic/Researcher,0,10,data collection,data storage,data security,data sharing,data controls/notice and consent,,,freedom from government surveillance/civil liberties,consumer protection,citizens' speech rights,,e-government,copyright,,,,,
Detroit Digital Justice Coalition,Non profit**,0,5,data profiling,data controls/notice and consent,,,,,,social justice/anti-discrimination,,,,digital divide,race/gender/class,,,,,
Digital Due Process,Non profit/for profit coalition,0,5,data collection,data controls/notice and consent,,,,,,freedom from government surveillance/civil liberties,,,,national security,law enforcement/public safety,,,,,
Ed Felten (Center for Information Technology Policy; Princeton University),Academic/Researcher,0,8,data collection,data controls/notice and consent,,,,,,freedom from government surveillance/civil liberties,citizens' speech rights,consumer protection,,e-government,copyright,e-commerce,,,,
"Edward McNicholas, Sidley Austin",Attorney/Litigator,0,8,data storage,data security,data profiling,,,,,protection of vulnerable populations,consumer protection,,,children/youth,finances,e-commerce,,,,
