ActorID,ActorName,ACTOR_TYPE,USUAL_SUSPECTS,size,imports
1,Abine,Tool,0,4,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.consumer_protection"
2,Aleecia_McDonald,Academic-Researcher,0,5,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,RTS_CONCERN.consumer_protection"
3,Alessandro_Acquisti,Academic-Researcher,0,12,"ISSUE.e-commerce,ISSUE.finances,ISSUE.health,ISSUE.labor_workplace,ISSUE.race-gender-class,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection,RTS_CONCERN.protection_of_vulnerable_populations,RTS_CONCERN.social_justice-anti-discrimination"
4,American_Civil_Liberties_Union,Non_Profit,1,8,"ISSUE.law_enforcement_public_safety,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_identification,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_sharing,RTS_CONCERN.citizens_speech_rights,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
5,American_Library_Association,Non_Profit,0,7,"ISSUE.children-youth,ISSUE.copyright,ISSUE.digital_divide,ISSUE.e-government,ISSUE.race-gender-class,PRIVTECH_CONCERN.data_collection,RTS_CONCERN.freedom_from_government_surveillance-civil_liberties"
6,Andrea_Matwyshyn,Academic-Researcher,0,6,"ISSUE.children-youth,ISSUE.e-commerce,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,RTS_CONCERN.consumer_protection,RTS_CONCERN.protection_of_vulnerable_populations"
7,Anita_Allen,Academic-Researcher,0,9,"ISSUE.e-government,ISSUE.health,ISSUE.race-gender-class,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection,RTS_CONCERN.protection_of_vulnerable_populations"
8,Annie_I._Ant—n,Academic-Researcher,0,9,"ISSUE.e-commerce,ISSUE.health,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_profiling,PRIVTECH_CONCERN.data_security,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection"
9,AppRights,US_State-Regional,0,8,"ISSUE.children-youth,ISSUE.e-commerce,ISSUE.law_enforcement_public_safety,PRIVTECH_CONCERN.data_collection,PRIVTECH_CONCERN.data_controls-notice_and_consent,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection,,,,,,,,,"
10,Arvind_Narayanan,Academic-Researcher,0,5,"ISSUE.e-commerce,PRIVTECH_CONCERN.data_controls,PRIVTECH_CONCERN.data_sharing,PRIVTECH_CONCERN.data_storage,RTS_CONCERN.consumer_protection"
